TIMES,VPU,CPU,THERMOCOUPLE
0.5627336502075195,36.41510772705078,46.2,32.25
2.1295363903045654,41.37325668334961,45.2,32.25
3.185657501220703,41.71916961669922,45.2,32.5
5.133235692977905,42.5827751159668,47.2,32.5
6.149017333984375,42.75385665893555,47.2,32.5
7.150560617446899,43.32732009887695,47.7,32.25
8.201066255569458,43.326072692871094,46.7,32.0
10.14136552810669,43.84039306640625,47.2,32.0
11.156546115875244,43.725425720214844,47.2,32.5
12.170903205871582,44.182212829589844,46.7,32.75
14.204386711120605,44.126976013183594,46.2,32.75
16.152289628982544,44.4116096496582,47.2,32.75
17.172571659088135,44.752716064453125,48.2,32.5
19.15511655807495,44.35489273071289,47.2,32.25
20.2234103679657,45.206546783447266,46.2,32.75
22.159376621246338,44.696353912353516,46.7,32.25
23.17818522453308,44.86643600463867,47.7,33.0
25.20596718788147,44.923622131347656,46.7,32.75
27.16664743423462,45.263553619384766,48.7,33.0
28.182592153549194,45.602725982666016,48.7,32.25
30.169076919555664,45.15041732788086,48.7,32.5
31.226685285568237,45.37751388549805,48.7,33.25
33.17906999588013,45.49058532714844,49.1,33.0
34.196170806884766,45.659732818603516,47.2,33.0
35.2002968788147,45.660850524902344,48.2,33.0
36.25711703300476,45.88653564453125,47.7,32.25
38.188363790512085,45.99825668334961,48.7,33.0
39.20780897140503,46.05567932128906,48.7,32.75
40.21404576301575,46.112510681152344,49.1,33.5
42.2549250125885,45.9972038269043,49.6,32.75
44.19960832595825,46.33778762817383,48.7,33.5
45.21152210235596,46.56365203857422,48.2,33.5
46.21404457092285,46.282535552978516,50.1,33.5
47.22055244445801,46.73338317871094,50.1,33.25
48.301270723342896,46.676612854003906,49.6,33.5
50.21481204032898,46.50758361816406,49.6,33.25
51.22690153121948,46.507225036621094,49.6,33.25
52.2271203994751,46.789215087890625,51.1,33.5
53.23172187805176,46.56341552734375,50.1,33.75
54.283610820770264,47.01507568359375,51.1,33.75
56.21686840057373,46.73337936401367,50.6,33.75
57.23387908935547,47.07038879394531,50.6,33.75
58.23731708526611,46.73192596435547,50.6,33.0
59.296868562698364,46.5633544921875,51.1,33.5
61.226104497909546,46.789276123046875,50.6,33.25
62.238277435302734,46.84458923339844,50.6,34.0
63.239142656326294,46.957664489746094,51.1,33.25
64.24054884910583,46.95726013183594,51.6,34.0
65.24391031265259,47.29508590698242,51.1,33.5
66.24437808990479,47.12657928466797,51.1,34.0
68.22969341278076,46.7888069152832,52.5,34.0
69.2461531162262,47.294795989990234,51.6,34.25
70.29464030265808,47.23959732055664,50.6,34.25
72.23396682739258,47.125587463378906,52.5,34.0
73.2758686542511,47.29561233520508,51.6,34.0
75.27361416816711,47.463768005371094,50.1,34.25
77.24904942512512,47.68817138671875,52.5,33.25
78.26493811607361,47.74307632446289,51.6,34.0
79.27124094963074,47.46330261230469,52.5,34.25
80.2734067440033,47.29572677612305,52.1,34.5
81.33236813545227,47.74418640136719,51.1,34.25
83.25816535949707,47.688697814941406,51.6,34.25
84.27696752548218,48.07946014404297,51.6,34.25
85.28745126724243,48.080963134765625,52.5,34.5
86.34925150871277,48.080848693847656,52.5,34.0
88.27227544784546,48.07951354980469,52.5,34.75
89.28966736793518,48.24784851074219,52.1,34.5
91.27652859687805,48.24755096435547,52.1,34.5
92.33671164512634,48.470916748046875,53.5,34.25
94.28100275993347,48.30426788330078,53.5,34.75
95.29498934745789,48.360103607177734,52.1,34.75
97.3415949344635,48.639076232910156,53.0,34.75
99.28270173072815,48.08009338378906,53.5,34.75
100.30427479743958,48.58172607421875,54.0,34.75
102.28907895088196,48.695091247558594,53.5,34.75
103.3756914138794,48.8057861328125,53.5,35.0
105.29036712646484,48.80717086791992,53.0,34.75
106.3051347732544,48.47149658203125,53.0,35.0
107.30850505828857,48.863189697265625,53.5,35.0
109.34623527526855,48.80705642700195,54.0,35.0
111.29511499404907,48.86283874511719,53.5,35.25
112.3150281906128,48.751739501953125,53.0,35.25
114.30956816673279,49.141578674316406,54.0,34.75
115.38483190536499,48.861968994140625,54.5,35.5
117.31292533874512,49.30794143676758,54.5,35.25
118.32978010177612,49.1413459777832,55.0,35.5
119.33018708229065,49.1410026550293,53.0,35.0
120.38604187965393,49.029319763183594,53.5,35.5
122.31715893745422,49.252967834472656,54.5,35.5
123.33411955833435,49.084754943847656,54.5,35.5
124.33563375473022,49.19649124145508,55.0,35.5
125.49454927444458,49.36412811279297,54.0,35.75
127.32448887825012,49.69697189331055,55.0,35.5
128.3497612476349,49.53031921386719,54.5,35.75
129.35310792922974,49.36205291748047,55.5,35.0
131.3955056667328,49.30661392211914,55.5,34.75
133.34133744239807,49.418582916259766,56.0,35.25
134.3566381931305,49.52997589111328,56.0,35.25
136.34847354888916,50.08606719970703,55.0,35.5
137.4123420715332,49.863685607910156,54.5,35.5
139.34275722503662,49.64240264892578,56.4,35.75
140.36438012123108,49.69633865356445,55.5,35.25
142.37662649154663,49.30643844604492,55.0,36.0
144.34913039207458,49.80865478515625,56.0,35.75
145.36459636688232,49.97484588623047,56.9,36.0
146.36646056175232,49.75281524658203,56.9,36.0
147.36949229240417,49.91889190673828,55.5,36.25
148.43156385421753,50.141387939453125,56.0,35.75
150.35704565048218,49.9190673828125,56.0,36.0
151.37631273269653,49.75281524658203,55.5,36.0
152.37978148460388,50.14167404174805,56.4,35.75
153.44702529907227,50.30758285522461,56.0,36.25
155.37430691719055,50.25197219848633,56.4,36.5
156.39205741882324,50.36295700073242,56.4,36.25
158.37655305862427,50.473087310791016,56.9,36.25
159.39264035224915,50.639739990234375,56.4,36.5
160.3948152065277,50.47336959838867,56.0,36.25
161.3990602493286,50.58481979370117,55.5,36.25
163.3838872909546,50.52892303466797,56.0,36.25
164.4563593864441,50.69414138793945,56.4,36.75
166.38793540000916,50.52949905395508,56.4,36.25
167.40786576271057,50.141845703125,57.4,36.5
169.41698002815247,50.1411018371582,56.9,36.75
171.39254546165466,50.80461120605469,56.4,36.75
172.40865206718445,50.916744232177734,57.4,37.0
173.4094340801239,50.91646194458008,57.4,36.75
174.4135274887085,51.35834503173828,56.9,36.75
175.4695439338684,50.97040557861328,56.4,37.0
177.3994460105896,50.97075271606445,56.0,36.75
178.41523623466492,50.915428161621094,57.4,37.25
179.41626238822937,51.07978439331055,57.4,36.75
180.47504997253418,51.13568115234375,56.4,36.75
182.40409207344055,51.081851959228516,56.9,36.5
183.421541929245,51.13694381713867,57.4,37.0
184.4227192401886,51.24724197387695,57.4,37.25
185.42436814308167,50.971435546875,57.4,37.25
186.48296999931335,51.136024475097656,57.4,37.5
188.41304922103882,51.357086181640625,56.4,36.75
189.42873644828796,51.57733917236328,57.4,37.25
190.42935061454773,51.467552185058594,58.4,37.5
191.42959356307983,51.632144927978516,58.4,37.0
192.4847228527069,51.578025817871094,56.9,37.5
194.4201958179474,51.19157791137695,57.9,37.5
195.43875193595886,51.41332244873047,57.4,37.5
197.43711471557617,51.688209533691406,57.4,37.75
198.49550890922546,51.301361083984375,56.4,37.5
200.43244314193726,51.522701263427734,57.9,37.0
201.44820141792297,51.851600646972656,57.9,37.0
202.45538687705994,52.07151412963867,57.9,37.75
203.48516011238098,51.79759216308594,57.9,37.75
205.44388842582703,51.79764938354492,58.9,38.0
206.4630742073059,51.74267578125,58.4,38.0
207.46433782577515,51.35696792602539,58.9,37.5
208.46442914009094,51.96366882324219,57.9,37.75
209.501695394516,51.9076042175293,58.9,37.75
211.45319986343384,51.797706604003906,58.4,37.5
212.46937823295593,51.743247985839844,58.9,37.5
213.4724600315094,51.41303253173828,58.4,38.25
214.52963614463806,52.12649154663086,57.9,37.5
216.4589705467224,51.797306060791016,58.9,37.5
217.4742431640625,52.126834869384766,58.4,38.0
218.47848463058472,51.96195602416992,58.9,37.75
219.4838354587555,51.79736328125,58.9,38.0
220.53921818733215,51.90772247314453,59.9,38.5
222.4659035205841,51.90795135498047,58.9,38.0
223.48940229415894,52.071739196777344,59.4,38.25
225.47948908805847,52.291481018066406,58.9,38.0
226.52120804786682,52.50957489013672,59.4,37.75
228.47232961654663,52.07117462158203,60.3,37.75
229.48835253715515,52.45619201660156,60.3,38.0
230.4941258430481,52.51185607910156,60.3,38.25
231.53796291351318,52.731258392333984,58.9,38.0
233.47743821144104,52.347320556640625,59.4,37.75
234.4951515197754,52.566322326660156,58.4,38.25
235.4965558052063,52.23855972290039,58.4,38.25
236.49864220619202,52.51202392578125,58.9,38.0
237.55066227912903,52.237823486328125,57.9,38.0
239.4853937625885,52.34697723388672,58.9,38.5
240.50048851966858,52.67695999145508,59.9,38.25
241.50172662734985,52.56723403930664,59.9,38.25
242.54353380203247,52.56620788574219,59.4,38.25
244.5017774105072,52.56620788574219,58.9,38.5
245.5190646648407,53.11320114135742,58.9,38.25
246.51910614967346,53.004554748535156,59.4,38.5
247.52008247375488,53.057708740234375,59.4,38.5
248.56174516677856,53.00432586669922,59.9,38.75
250.50832772254944,53.113773345947266,59.4,38.75
251.5251166820526,52.949974060058594,59.9,38.75
252.52634477615356,52.78578186035156,60.3,38.75
253.58031463623047,52.94866180419922,59.9,38.75
255.52293872833252,53.223384857177734,59.9,38.5
256.5396816730499,53.49662399291992,59.9,38.25
257.54285526275635,53.11388397216797,59.9,38.0
258.54556941986084,53.27785110473633,59.9,39.25
259.60391330718994,53.00421142578125,58.9,38.75
261.53120946884155,53.33118438720703,59.4,39.0
262.5469229221344,53.22224807739258,60.3,38.75
263.54782128334045,53.33243179321289,60.3,38.75
264.57826113700867,53.44136428833008,59.9,38.75
266.5369575023651,53.168235778808594,61.3,38.5
267.55257272720337,53.44181823730469,60.3,39.25
268.5537779331207,53.00410079956055,61.8,38.75
269.5538582801819,53.55018615722656,59.9,39.0
270.60629653930664,53.38718032836914,59.4,39.0
272.54226899147034,53.550636291503906,59.9,39.25
273.55943751335144,53.27785110473633,60.3,39.25
274.5623474121094,53.44142150878906,59.4,38.25
275.6251287460327,53.49730682373047,59.9,39.0
277.54874897003174,53.55001449584961,59.9,39.5
278.5634515285492,53.550296783447266,60.8,39.0
279.5675232410431,53.44136428833008,60.8,39.25
280.5721297264099,53.714378356933594,60.3,39.25
281.63769268989563,53.769020080566406,60.8,39.5
283.56488585472107,53.659969329833984,60.3,39.5
284.5824327468872,53.76839065551758,60.8,39.25
285.5868215560913,53.659854888916016,60.3,39.0
286.6460483074188,53.93178939819336,59.4,39.0
288.57511162757874,53.769073486328125,61.3,39.5
289.60107588768005,53.71454620361328,60.8,39.25
290.6018240451813,54.20435333251953,60.8,39.5
291.6032090187073,53.93269729614258,61.3,39.0
292.6522786617279,54.204185485839844,61.3,39.0
294.58700919151306,53.98637390136719,61.3,39.25
295.60455322265625,54.31232452392578,60.8,39.5
296.6072053909302,53.93144989013672,60.3,39.5
297.65963673591614,53.98716735839844,61.3,39.5
299.59579396247864,54.15039825439453,61.8,39.5
300.60953307151794,54.03998947143555,60.3,39.5
301.61117577552795,54.04168701171875,61.3,39.5
302.61260890960693,53.98603057861328,61.8,39.25
303.6674687862396,54.31357192993164,60.8,39.25
305.5999789237976,54.095760345458984,60.8,39.5
306.6201202869415,53.93230438232422,60.8,39.25
307.62497067451477,53.9869384765625,60.8,39.5
308.6763665676117,54.25921630859375,60.3,39.25
310.60814905166626,54.47544479370117,61.3,39.75
311.6306731700897,54.584041595458984,61.8,39.5
312.64010190963745,54.47606658935547,61.3,39.75
313.6417224407196,54.8006706237793,61.8,40.25
314.6917004585266,54.14949035644531,61.3,39.75
316.62536573410034,54.63884735107422,61.3,39.75
317.6411862373352,54.475276947021484,61.3,40.0
318.6438374519348,54.20305252075195,60.3,40.0
319.700297832489,54.69167709350586,61.3,39.75
321.6316533088684,54.638790130615234,60.8,40.0
322.64899611473083,54.583984375,62.8,39.75
323.65210723876953,54.6933708190918,62.8,39.75
324.655170917511,54.91044616699219,61.3,39.75
325.71043729782104,54.69258117675781,61.3,40.0
327.64079880714417,54.63975143432617,60.8,40.0
328.65509963035583,54.530311584472656,61.3,39.75
329.65591263771057,54.31311798095703,60.8,40.25
330.71318221092224,54.63556671142578,61.3,40.0
332.65057468414307,54.63805389404297,61.3,40.0
333.6653790473938,54.63811492919922,61.3,39.75
335.6495394706726,54.80185317993164,61.8,40.5
336.7100365161896,55.01797103881836,61.3,39.75
338.6519265174866,54.855247497558594,61.8,40.0
339.668461561203,54.80100631713867,61.3,39.75
340.668984413147,54.85637664794922,61.8,40.0
341.72816371917725,55.23561096191406,61.3,40.25
343.65672516822815,55.287601470947266,62.8,39.75
344.6746997833252,55.23177719116211,61.3,40.5
345.67652916908264,55.505126953125,62.3,40.5
346.6771671772003,55.28816223144531,61.8,40.25
347.67754197120667,55.1816520690918,63.3,40.5
349.66302967071533,55.01904296875,60.8,40.5
350.67833256721497,55.18120193481445,62.3,40.75
351.67990136146545,55.18052673339844,62.8,40.5
352.73271107673645,55.180694580078125,61.8,40.25
354.668071269989,55.07187271118164,61.8,40.75
355.6860113143921,55.3970947265625,62.3,40.25
357.7285690307617,55.07198715209961,62.8,40.75
359.67706513404846,55.613101959228516,61.8,40.5
360.6939082145691,55.342742919921875,62.3,40.75
361.7035822868347,55.39726638793945,61.8,40.25
362.70365595817566,55.34257507324219,62.3,41.0
363.75441575050354,55.34257125854492,61.8,40.75
365.69508719444275,55.28956985473633,62.3,40.5
366.71121406555176,55.28782653808594,62.3,41.0
368.73668694496155,55.558692932128906,62.3,41.0
370.70655059814453,56.043548583984375,62.8,40.75
371.7170395851135,55.61327362060547,62.3,40.75
372.7250978946686,55.45184326171875,62.3,41.0
374.7653076648712,55.56037902832031,61.8,41.25
376.70822739601135,55.775211334228516,62.3,41.25
377.7267255783081,55.77532196044922,60.8,40.75
379.7100684642792,55.8283805847168,62.3,41.0
380.7291884422302,55.45088577270508,62.8,41.25
381.73126554489136,56.09952926635742,62.8,40.75
383.7156414985657,55.88296127319336,62.8,41.0
384.7338287830353,55.66801834106445,62.8,41.25
385.794451713562,55.66712188720703,62.3,41.5
387.72204780578613,55.82793045043945,63.7,41.0
388.7380418777466,56.25865936279297,63.3,41.25
389.7417607307434,55.93686294555664,61.8,41.25
390.7882912158966,55.99009323120117,62.8,41.25
392.7245273590088,55.828773498535156,61.8,41.0
393.74363899230957,56.04181671142578,63.3,41.25
395.7277376651764,56.20728302001953,62.3,41.5
396.78420090675354,56.20745086669922,62.3,41.25
398.7318363189697,56.15242385864258,62.8,41.25
399.7489869594574,56.31418991088867,63.7,41.5
