TIMES,VPU,CPU,THERMOCOUPLE
0.5477988719940186,31.163862228393555,50.6,20.25
1.127772569656372,34.87555694580078,51.6,21.25
1.1807491779327393,35.351131439208984,51.6,18.75
1.2646591663360596,35.88360595703125,50.6,19.75
1.3069336414337158,36.47421646118164,52.5,22.0
1.36759352684021,37.65116882324219,52.1,19.25
1.4097061157226562,37.239898681640625,52.1,17.75
1.4524481296539307,37.76841354370117,53.0,18.75
1.5585780143737793,38.11875534057617,53.5,19.25
1.8720455169677734,37.82715606689453,52.5,19.25
1.9194893836975098,37.708274841308594,53.0,18.75
1.9620943069458008,38.5283317565918,53.5,20.5
1.999612808227539,38.47067642211914,54.0,19.5
2.04327392578125,38.353309631347656,52.5,18.0
2.0996999740600586,38.87964630126953,54.0,20.25
2.1355416774749756,38.82024002075195,53.5,18.75
2.2191128730773926,38.93688201904297,53.0,21.75
2.294147491455078,39.112327575683594,54.5,19.0
2.3590822219848633,39.11280822753906,54.5,19.5
2.421570062637329,38.64467239379883,53.5,18.0
2.4624383449554443,39.40290832519531,54.0,20.25
2.5215909481048584,39.0540657043457,53.5,19.75
2.5895426273345947,39.63642883300781,54.5,21.0
2.8976540565490723,39.05430603027344,54.5,22.0
2.935283660888672,39.80976486206055,55.0,20.75
2.9773855209350586,39.169921875,54.5,20.5
3.03224515914917,39.40380859375,55.5,19.5
3.082681179046631,39.69330596923828,55.5,18.25
3.133302688598633,39.40278244018555,55.5,19.25
3.1751797199249268,39.694149017333984,55.5,21.0
3.21349835395813,39.868568420410156,55.5,20.0
3.2526285648345947,39.81121063232422,55.5,18.5
3.3274900913238525,40.449249267578125,55.5,20.5
3.4321863651275635,40.27488708496094,54.5,20.25
3.5006320476531982,39.75325012207031,54.0,20.0
3.536731481552124,40.448829650878906,55.0,20.0
3.638874053955078,40.390628814697266,55.5,19.5
3.97715425491333,40.56523132324219,56.9,18.75
4.025690793991089,40.854251861572266,56.0,19.75
4.077188014984131,40.27458953857422,55.5,18.75
4.117203712463379,40.098968505859375,55.5,19.75
