times,z,d,h,v,nearest_labels,haptic_messages,buzzer_messages
8.120163917541504,2.862,nan,nan,nan,nan,nan,nan
8.176015377044678,2.862,nan,nan,nan,nan,nan,nan
8.29612112045288,2.862,nan,nan,nan,nan,nan,nan
8.363491296768188,2.862,nan,nan,nan,nan,nan,nan
8.433328866958618,2.862,nan,nan,nan,nan,nan,nan
8.485664129257202,2.862,nan,nan,nan,nan,nan,nan
8.572915315628052,2.862,nan,nan,nan,nan,nan,nan
8.624082565307617,2.862,nan,nan,nan,nan,nan,nan
8.730695247650146,2.862,nan,nan,nan,nan,nan,nan
8.782969236373901,2.862,nan,nan,nan,nan,nan,nan
8.87768840789795,2.862,nan,nan,nan,nan,nan,nan
8.930155277252197,2.862,nan,nan,nan,nan,nan,nan
9.02376127243042,2.862,nan,nan,nan,nan,nan,nan
9.074282169342041,2.8596119444444446,nan,nan,nan,nan,nan,nan
9.166439771652222,2.8588386111111115,nan,nan,nan,nan,nan,nan
9.217244863510132,2.858904722222222,nan,nan,nan,nan,nan,nan
9.332278490066528,2.858027222222222,nan,nan,nan,nan,nan,nan
9.391681432723999,2.8550186111111113,nan,nan,nan,nan,nan,nan
9.473290920257568,2.8553024999999996,nan,nan,nan,nan,nan,nan
9.52463150024414,2.8559755555555557,nan,nan,nan,nan,nan,nan
9.612996578216553,2.852037222222222,nan,nan,nan,nan,nan,nan
9.663933277130127,2.8531247222222222,nan,nan,nan,nan,nan,nan
9.766196489334106,2.850226111111111,2.425912814377004,0,303,emergency exit,d,nan
9.821053743362427,2.8482991666666666,2.425912814377004,0,302,emergency exit,nan,nan
9.91818618774414,2.845676111111111,2.4241083148257143,1,301,emergency exit,nan,nan
9.97142481803894,2.8392555555555554,2.4259080424673005,0,301,emergency exit,nan,nan
10.057164669036865,2.83584,2.4223216555319653,0,300,emergency exit,nan,nan
10.111251831054688,2.8411736111111114,2.422316876547761,1,299,emergency exit,nan,nan
10.210567235946655,2.837153333333333,2.420533654677002,0,298,emergency exit,nan,nan
10.263217449188232,2.8301594444444444,2.420533654677002,0,298,emergency exit,d,nan
10.358173847198486,2.8322933333333333,2.420533654677002,1,298,emergency exit,nan,nan
10.412638425827026,2.831998611111111,2.420533654677002,1,297,emergency exit,nan,nan
10.519965410232544,2.821802222222222,2.4187778342137416,3,297,emergency exit,nan,nan
10.573073625564575,2.8224905555555555,2.4205527846399257,2,297,emergency exit,nan,nan
10.665578365325928,2.816144444444445,2.4187634762271912,4,296,emergency exit,nan,nan
10.720248460769653,2.8126111111111114,2.4187778342137416,4,295,emergency exit,d,nan
10.814868450164795,2.8073313888888887,2.417011181698241,5,295,emergency exit,nan,nan
10.868874073028564,2.8039572222222224,2.417011181698241,5,294,emergency exit,nan,nan
10.974601984024048,2.804793611111111,2.4170351289799683,6,293,emergency exit,nan,nan
11.027610301971436,2.8033694444444444,2.4170351289799683,6,293,emergency exit,nan,nan
11.116379737854004,2.7975041666666667,2.4170351289799683,5,293,emergency exit,nan,nan
11.168291568756104,2.7976755555555557,2.4152767651494695,5,293,emergency exit,d,nan
11.278599977493286,2.7941486111111113,2.4152767651494695,5,292,emergency exit,nan,nan
11.330308675765991,2.791286111111111,2.4152767651494695,5,292,emergency exit,nan,nan
11.424607515335083,2.7897794444444446,2.413502731009308,5,292,emergency exit,nan,nan
11.476759433746338,2.7922394444444443,2.413502731009308,5,292,emergency exit,nan,nan
11.582531213760376,2.787757777777778,2.413502731009308,4,291,emergency exit,nan,nan
11.63674283027649,2.7877513888888887,2.413502731009308,4,291,emergency exit,d,nan
11.722748279571533,2.775928611111111,2.4117609915197824,4,289,emergency exit,nan,nan
11.777326583862305,2.774516388888889,2.4117609915197824,4,289,emergency exit,nan,nan
11.86914873123169,2.7710833333333333,2.4117609915197824,4,288,emergency exit,nan,nan
11.921133995056152,2.7681644444444444,2.410027600025214,4,288,emergency exit,nan,nan
12.025016784667969,2.7637094444444448,2.408302596379505,4,286,emergency exit,nan,nan
12.078427076339722,2.7604675000000003,2.408302596379505,4,286,emergency exit,d,nan
12.176026582717896,2.7586822222222223,2.4048777152041856,4,284,emergency exit,nan,nan
12.229518175125122,2.7516144444444444,2.4230411469854998,4,283,emergency exit,nan,nan
12.322742700576782,2.7461994444444446,2.4031778739718033,4,283,emergency exit,nan,nan
12.376867532730103,2.7495197222222223,2.7032357106998486,4,282,emergency exit,nan,nan
12.477460861206055,2.737356111111111,2.399803565860772,5,279,emergency exit,nan,nan
12.530636548995972,2.736273888888889,2.399803565860772,4,278,emergency exit,d,nan
12.639283418655396,2.731183055555556,2.396463172400997,4,276,emergency exit,nan,nan
12.691740989685059,2.731677777777778,2.396463172400997,4,275,emergency exit,nan,nan
12.776705741882324,2.7267769444444445,2.394829888818823,5,273,emergency exit,nan,nan
12.829171657562256,2.722619166666667,2.394829888818823,5,273,emergency exit,nan,nan
12.93047308921814,2.7121327777777777,2.3931809791272642,5,271,emergency exit,nan,nan
12.98335862159729,2.707043611111111,2.397896622698893,5,270,emergency exit,d,nan
13.077708959579468,2.703882222222222,2.3882613701908006,6,268,emergency exit,nan,nan
13.130514144897461,2.7000300000000004,2.398596151109833,6,267,emergency exit,nan,nan
13.227563381195068,2.6980680555555554,2.3866709778816517,6,265,emergency exit,nan,nan
13.280518770217896,2.6931125000000002,2.40827453449108,5,264,emergency exit,nan,nan
13.384488344192505,2.688543888888889,2.4407065300670925,5,263,emergency exit,d,nan
13.437655687332153,2.6845697222222222,2.4020340987641937,5,263,emergency exit,nan,nan
13.530900478363037,2.679824722222222,2.397746076781681,5,260,emergency exit,nan,nan
